player_name,matches,runs,team,role,strike_rate
Virat Kohli,252,8004,RCB,Bastman,132.5
Rohit Sharma,257,6628,CSK,Bastman,136.7
Suresh Raina,205,5528,CSK,Bastman,140.3
David Warner,184,,DC,Bastman,135.9
MS Dhoni,264,5243,CSK,Wicket Keeper,142.1
Shubman Gill,107,3589,GT,Bastman,121.2
Rashid Khan,110,412,GT,Bastman,120.1
AB de Villiers,184,5162,RCB,All Rounder,151.6
Ravindra Jadeja,,2959,CSK,All Rounder,128.8
Andre Russell,124,2489,KKR,All Rounder,168
Hardik Pandya,134,2268,,All Rounder,146.4
Jasprit Bumrah,133,52,MI,Bowler,108.3
Rishabh Pant,111,3284,DC,Wicket Keeper,148.2
KL Rahul,132,4485,LSG,Bastman,135.6
Sanju Samson,169,,RR,Wicket Keeper,139.7
