Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
Rustom's,"Parsi, Street Food, North Indian, Desserts, Beverages",2100," ITO, New Delhi",4.9,1885,4.4,1844,https://www.zomato.com/ncr/rustoms-ito-new-delhi,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi"
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,3.9,37,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi"
Dum-Pukht - ITC Maurya,"Mughlai, North Indian, Desserts",5000," ITC Maurya, Chanakyapuri, New Delhi",4.9,1371,,0,https://www.zomato.com/ncr/dum-pukht-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi"
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600," Cyber Hub, DLF Cyber City, Gurgaon",4.9,2636,4.4,1238,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon"
The Big Chill,"Continental, American, Italian",1500," Khan Market, New Delhi",4.9,6487,,0,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"68-A, Khan Market, New Delhi"
Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,4.2,931,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi"
"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500," Sector 15, Gurgaon",4.9,1299,3.8,25,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon"
Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,4.5,6969,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi"
Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200," Chawri Bazar, New Delhi",4.9,1120,,5,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"526, Kucha Pati Ram, Bazar Sita Ram, Near Chawri Bazar Metro Station, Chawri Bazar, New Delhi"
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,4.2,573,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi"
Comorin,"North Indian, Desserts, Beverages",2500," Two Horizon Center, Golf Course Road, Gurgaon",4.8,803,4.4,217,https://www.zomato.com/ncr/comorin-golf-course-road,"101, 1st Floor, Plaza Level, Two Horizon Center, Golf Course Road, Gurgaon"
Viet:Nom,"Vietnamese, Beverages",2000," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1381,4,75,https://www.zomato.com/ncr/vietnom-dlf-cyber-city,"17-18, DLF Phase 2, DLF Cyber Hub, Near DLF Cyber City, Gurgaon"
Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,4.1,2037,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"G 14, Hudson Lane, Vijay Nagar, New Delhi"
Sana-Di-Ge,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala",2200," Chanakyapuri, New Delhi",4.8,2038,4.3,172,https://www.zomato.com/ncr/sana-di-ge-chanakyapuri-new-delhi,"22/48, Ground Floor, First Floor And Second Floor, Commercial Complex, Malcha Marg, Chanakayapuri, New Delhi"
Pa Pa Ya,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Momos, Beverages",2500," Select Citywalk Mall, Saket, New Delhi",4.8,4077,4.3,125,https://www.zomato.com/ncr/pa-pa-ya-saket-new-delhi,"A-3, Select Citywalk, District Centre, Saket, New Delhi"
Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",1800," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1742,4.2,643,https://www.zomato.com/ncr/yum-yum-cha-dlf-cyber-city,"2E, Ground Floor, Tower-A, Building 10, DLF Cyber City, Gurgaon"
Coast Cafe,"Continental, Kerala",1400," Hauz Khas Village, New Delhi",4.8,1472,4.3,2115,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi"
PizzaExpress,"Fast Food, Italian, Beverages, Desserts",1000," Ambience Mall, DLF Phase 3, Gurgaon",4.8,3077,4.3,1831,https://www.zomato.com/ncr/pizzaexpress-dlf-phase-3,"T-317, 3rd Floor, Ambience Mall, DLF Phase 3, Gurgaon"
The Big Chill Cakery,"Bakery, Desserts",400," DLF Mall of India, Sector 18,  Noida, Noida",4.8,884,,0,https://www.zomato.com/ncr/the-big-chill-cakery-sector-18-noida,"Ground Floor, DLF Mall Of India, Sector 18, Noida"
Music & Mountains - Hillside Cafe,"Cafe, Italian, Continental, Fast Food, Salad, Beverages",2100," M Block Market, Greater Kailash 1 (GK1), New Delhi",4.7,3731,4.3,348,https://www.zomato.com/ncr/music-mountains-hillside-cafe-greater-kailash-gk-1-new-delhi,"M-23, M Block Market, Greater Kailash (GK) 1, New Delhi"
