Restaurant_Name,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Cuisine,Place_Name,City,Item_Name,Best_Seller,Votes,Prices,Average_Rating,Total_Votes,Price_per_Vote,Log_Price,Is_Bestseller,Restaurant_Popularity,Avg_Rating_Restaurant,Avg_Price_Restaurant,Avg_Rating_Cuisine,Avg_Price_Cuisine,Avg_Rating_City,Avg_Price_City,Is_Highly_Rated,Is_Expensive
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,84,249,4.05,39,2.929411765,5.521460918,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Lava Sauce,NONE,0,40,4,117,40,3.713572067,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
BrownBear,3.6,4,239,0,Fast Food,Himayath Nagar, Hyderabad,Pineapple Cake,NONE,0,500,3.8,239,500,6.216606101,1,35,3.8,371,3.818679705,255.9548939,3.939031141,245.1304823,0,1
Crystal Restaurant & Bar,4.2,3.9,697,0,Biryani,Nallakunta, Hyderabad,Curd Rice,NONE,24,160,4.05,697,6.4,5.081404365,1,231,4.05,297.6839827,3.875915869,266.8815098,3.939031141,245.1304823,1,0
Siddique Kabab Centre,4.4,4.1,732,0,Chinese,Tolichowki, Hyderabad,Grilled Chicken,MUST TRY,520,432,4.25,732,0.829174664,6.070737728,1,47,4.25,223.6170213,3.873351848,232.318824,3.939031141,245.1304823,1,1
Shah Ghouse Special Shawarma,4.3,4.1,156,0,Beverages,Charminar, Hyderabad,Mixed Dry Fruit Lassi,NONE,0,190,4.2,156,190,5.252273428,1,267,4.2,139.258427,3.928624236,254.5653637,3.939031141,245.1304823,1,0
Taj Mahal - Taj Mahal Hotel,4.1,4.1,0,0,Beverages,Taj Mahal Hotel, Hyderabad,Tmh Masala Dosa,BESTSELLER,623,125,4.1,0,0.200320513,4.836281907,1,109,4.1,124.7155963,3.928624236,254.5653637,3.939031141,245.1304823,1,0
Burger King,4.1,4.1,253,0,Fast Food,The Next Galleria Mall, Hyderabad,Chicken Wings Grilled - Fifteen Pcs,NONE,0,529,4.1,253,529,6.272877007,1,1352,3.928809172,254.6328994,3.818679705,255.9548939,3.939031141,245.1304823,1,1
Papadams Blue,None,3.9,625,0,Desserts,Kothapet, Hyderabad,Special Veg Biryani,BESTSELLER,75,255,3.95,625,3.355263158,5.545177444,1,228,3.95,303.25,3.963493135,260.3634919,3.939031141,245.1304823,0,0
Ovenstory Pizza,3.8,4.1,0,0,Fast Food,Abids, Hyderabad,Gulab Jamun Ice Cream 100ML,NONE,0,99,3.961132016,0,99,4.605170186,1,352,4.030592243,385.237017,3.818679705,255.9548939,3.939031141,245.1304823,0,0
Italian Pizzeria,4,3.5,325,0,Shake,Mehdipatnam, Hyderabad,Chicken Penne Alfredo Pasta,MUST TRY,89,210,3.75,325,2.333333333,5.351858133,1,178,3.75,179.5505618,3.913401264,188.8196326,3.939031141,245.1304823,0,0
Al Rabea Mandi House,3.9,4.3,1,198,Mandi,Charminar, Hyderabad,Batair Mandi,CHEF'S SPECIAL,9,300,4.061132016,199,30,5.707110265,1,14,4.061132016,466.4285714,3.756105398,213.7967126,3.939031141,245.1304823,1,1
Govind Dosa,4.4,3.5,997,0,South Indian,Charminar, Hyderabad,Govind Dosa,MUST TRY,205,75,3.95,997,0.36407767,4.33073334,1,68,3.95,89.48529412,3.825838494,188.5909589,3.939031141,245.1304823,0,0
Universal Al Mataam Mandi Kebab & Biryani,3.9,3.7,288,0,Kebab,Yousufguda, Hyderabad,Chicken Rumali Shawarma [Serves 1],NONE,261,109,3.8,288,0.416030534,4.700480366,1,129,3.8,244.2093023,3.907036605,318.3228258,3.939031141,245.1304823,0,0
The Thickshake Factory,3.4,3.8,38,0,Beverages,Himayath Nagar, Hyderabad,Belgian Chocolate Thick Shake,NONE,22,241,3.6,38,10.47826087,5.488937726,1,103,3.6,227.5339806,3.928624236,254.5653637,3.939031141,245.1304823,0,0
Food Track,4.3,4.1,16,0,Beverages,Charminar, Hyderabad,Paneer Burger,NONE,15,120,4.2,16,7.5,4.795790546,1,103,4.2,130.0485437,3.928624236,254.5653637,3.939031141,245.1304823,1,0
The Burger Club,None,3.3,0,241,Shake,Koti, Hyderabad,Chicken Cheese Fried Pops [10 Pieces],NONE,0,109,3.561132016,241,109,4.700480366,1,77,3.561132016,130.4415584,3.913401264,188.8196326,3.939031141,245.1304823,0,0
Acme Candy Food,None,3.963184258,0,0,Desserts,Malakpet, Hyderabad,Turkish Delight with Blueberry and Pistachio,NONE,0,389,3.892724145,0,389,5.966146739,1,17,3.892724145,262.3529412,3.963493135,260.3634919,3.939031141,245.1304823,0,1
MS Bakery & Sweets,None,4.2,0,0,Pizza,Falaknuma, Hyderabad,D Toast Plain [250 grams],NONE,0,60,4.011132016,0,60,4.110873864,1,140,4.011132016,177.5928571,3.885698266,208.9395108,3.939031141,245.1304823,1,0
New Grand Restaurant & Bakery,4,4,129,0,Bakery,Begum Bazaar, Hyderabad,Mini Chicken 65 Biryani,BESTSELLER,162,130,4,129,0.797546012,4.875197323,1,256,4,136.515625,4.069201357,239.9029779,3.939031141,245.1304823,1,0
McDonald's,4.2,3.9,137,0,Fast Food,MPM Mall, Hyderabad,3 pc of McSpicy Fried chicken + 2 Coke,NONE,0,380.01,3.55,137,380.01,5.942825622,1,2059,3.773045168,264.2809762,3.818679705,255.9548939,3.939031141,245.1304823,0,1
Capital Multi Cuisine Restaurant,4.2,3.9,0,0,Beverages,Malakpet, Hyderabad,Chicken Mandi [Mini],BESTSELLER,1944,220,4.05,0,0.11311054,5.398162702,1,545,3.649174312,336.6788991,3.928624236,254.5653637,3.939031141,245.1304823,1,0
Yashwanth Pizza Den,None,4,0,15,Beverages,RTC X roads, Hyderabad,Paneer Cheese Grilled Sandwich,NONE,0,120,3.911132016,15,120,4.795790546,1,89,3.911132016,167.4269663,3.928624236,254.5653637,3.939031141,245.1304823,0,0
Red Bucket Biryani,None,4.1,0,100,Biryani,Saroor Nagar, Hyderabad,All Mixd[Chicken + Mutton + Fish + Prawns],NONE,0,1150,3.961132016,100,1150,7.048386409,1,64,3.961132016,1011.71875,3.875915869,266.8815098,3.939031141,245.1304823,0,1
Hotel Shadab,4.3,4.1,0,0,Beverages,Ghansi Bazaar, Hyderabad,Mutton Biryani,MUST TRY,2169,325,4.2,0,0.149769585,5.786897381,1,94,4.2,283.7765957,3.928624236,254.5653637,3.939031141,245.1304823,1,1
Mughal Restaurant,3.8,4.1,258,0,Desserts,Lakdikapul, Hyderabad,Chicken Manchurian,NONE,14,199,3.95,258,13.26666667,5.298317367,1,124,3.95,190.4596774,3.963493135,260.3634919,3.939031141,245.1304823,0,0
UBQ by Barbeque Nation,None,3.7,0,0,Desserts,Banjara Hills, Hyderabad,Veg Kababs Platter (Serves 2),BESTSELLER,0,399,3.761132016,0,399,5.991464547,1,304,3.779224121,438.4901316,3.963493135,260.3634919,3.939031141,245.1304823,0,1
La Pino'z Pizza,3.9,4,6,505,Fast Food,Himayath Nagar, Hyderabad,Peri Peri Veg Pizza,NONE,7,295,3.95,511,36.875,5.690359454,1,868,3.741772878,216.2983871,3.818679705,255.9548939,3.939031141,245.1304823,0,0
Barbeque Nation,15,3.8,34,369,Beverages,Abids, Hyderabad,Chicken Tikka & Drumstick Platter,NONE,0,569,4,403,569,6.345636361,1,119,3.975630252,656.7478992,3.928624236,254.5653637,3.939031141,245.1304823,1,1
