restaurant_name,ratings
Doner King,3.9
Taco Bell,4.3
BrownBear,3.6
Crystal Restaurant & Bar,4.2
Siddique Kabab Centre,4.4
Shah Ghouse Special Shawarma,4.3
Taj Mahal - Taj Mahal Hotel,4.1
Burger King,4.1
Papadams Blue,None
Ovenstory Pizza,3.8
Italian Pizzeria,4
Al Rabea Mandi House,3.9
Govind Dosa,4.4
Universal Al Mataam Mandi Kebab & Biryani,3.9
The Thickshake Factory,3.4
Food Track,4.3
The Burger Club,None
Acme Candy Food,None
MS Bakery & Sweets,None
New Grand Restaurant & Bakery,4
McDonald's,3.2
Capital Multi Cuisine Restaurant,4.2
Yashwanth Pizza Den,None
Red Bucket Biryani,None
Hotel Shadab,4.3
Mughal Restaurant,3.8
UBQ by Barbeque Nation,None
La Pino'z Pizza,3.9
Barbeque Nation,4.2
