product_id,product_name,category,brand,seller,seller_city,price,discount_percent,final_price,rating,review_count,stock_available,units_sold,listing_date,delivery_days,weight_g,warranty_months,color,size,return_policy_days,is_returnable,payment_modes,shipping_weight_g,product_score,seller_rating
FKP0000001,Adidas Ultra 664,Toys,Adidas,MegaStore,Hyderabad,35547.34?,15,30215.24,1.9,26975,267,66,12-04-2022,11,3038.23,36,Green,XL,30,TRUE,"COD,CARD",3483.592454,6.78,3.28
FKP0000002,LG Series 124,Fashion,LG,ValueKart,Mumbai,30693.79?,10,27624.41,3.2,45848,16,2703,14-05-2023,3,1921.82,0,Grey,One Size,7,TRUE,"UPI,CARD",2091.473835,50.78,3.42
FKP0000003,Redmi Model 35,Beauty,Redmi,SmartDeals,Ahmedabad,51214.5?,40,30728.7,4.4,5138,806,2394,13-09-2022,5,1143.49,12,Black,M,0,FALSE,"COD,UPI,CARD",1242.770494,4.24,4.23
FKP0000004,Sony Edition 769,Toys,Sony,UrbanRetails,Delhi,33168.49?,30,23217.94,2.8,2000,509,1732,05-08-2019,1,3644.81,24,Black,L,0,FALSE,"CARD,Wallet",3891.222716,1.38,3.45
FKP0000005,Boat Prime 291,Home & Kitchen,Boat,RetailHub,Pune,14181.34?,0,14181.34,3.7,25801,809,4644,26-08-2018,7,310.33,0,Blue,N/A,30,TRUE,"CARD,Wallet",386.0610139,79.27,4.9
FKP0000006,Puma Series 260,Appliances,Puma,SmartDeals,Hyderabad,18608.77?,10,16747.89,2.8,13316,489,2671,15-04-2018,11,459.13,24,Red,N/A,7,TRUE,"COD,UPI,CARD",533.2391192,46.84,3.44
FKP0000007,Nike Ultra 238,Beauty,Nike,ValueKart,Kolkata,6814.87?,40,4088.92,2.6,43084,160,492,17-03-2021,1,3082.17,24,Grey,N/A,15,TRUE,"COD,CARD",3318.008511,14.48,3.08
FKP0000008,Philips Series 152,Beauty,Philips,SuperMart,Chennai,9330.32?,5,8863.8,3.6,9135,788,4607,08-04-2020,4,1651.04,24,Silver,L,30,TRUE,"UPI,CARD",1833.289044,36.64,4.95
FKP0000009,Whirlpool Model 764,Toys,Whirlpool,MegaStore,Chennai,26866.61?,30,18806.63,2,18219,960,718,14-01-2018,2,857.6,24,Silver,N/A,7,TRUE,"COD,CARD",999.6957363,8.17,3.96
FKP0000010,Philips Prime 114,Electronics,Philips,BestBuy,Bengaluru,53392.85?,15,45383.92,4.5,5968,942,4594,15-05-2022,10,288.08,36,Green,S,10,TRUE,"UPI,CARD",355.6413591,64.93,4.66
FKP0000011,Samsung Ultra 702,Home & Kitchen,Samsung,SuperMart,Delhi,35385.77?,50,17692.88,2.6,33626,599,4942,28-02-2018,10,2423.39,36,Silver,M,0,FALSE,"COD,CARD",2647.57957,4.69,4.28
FKP0000012,Philips Series 768,Toys,Philips,SmartDeals,Mumbai,1364.39?,10,1227.95,1,11991,172,3221,09-03-2022,2,1635.52,12,Black,One Size,15,TRUE,"COD,CARD",1786.329359,4.29,4.84
FKP0000013,Adidas Ultra 923,Home & Kitchen,Adidas,ValueKart,Delhi,7387.12?,5,7017.76,2.3,46861,254,1622,02-06-2020,11,3248.87,6,Blue,N/A,7,TRUE,"UPI,CARD",3968.951863,15.69,4.11
FKP0000014,LG Prime 568,Home & Kitchen,LG,MegaStore,Mumbai,59583.15?,5,56603.99,3,2904,830,416,16-03-2023,9,1103.31,0,Gold,L,10,TRUE,"COD,CARD",1201.415356,58.45,3.91
FKP0000015,Prestige Prime 99,Appliances,Prestige,MegaStore,Bengaluru,52728.69?,20,42182.95,4.3,47169,228,4898,17-02-2020,3,1019.96,36,Blue,M,7,TRUE,"CARD,Wallet",1098.972604,98.98,4.39
FKP0000016,Dell Ultra 614,Beauty,Dell,RetailHub,Delhi,11463.36?,0,11463.36,3.9,33013,905,1841,23-08-2022,1,795.44,6,Silver,S,15,TRUE,"UPI,CARD",852.636655,51.56,3.38
FKP0000017,Samsung Series 442,Fashion,Samsung,RetailHub,Chennai,3472.26?,30,2430.58,4.9,42095,186,2598,27-08-2018,6,4206.14,36,Red,XL,15,TRUE,"COD,CARD",4879.169641,36.71,3.37
FKP0000018,Nike Edition 42,Appliances,Nike,UrbanRetails,Kolkata,6955.08?,5,6607.33,1,13883,519,3728,15-04-2020,7,73.72,24,Blue,M,15,TRUE,"COD,UPI,CARD",83.06052519,11.82,4.93
FKP0000019,Philips Series 40,Appliances,Philips,ValueKart,Hyderabad,55702.15?,0,55702.15,3.7,36250,239,4351,05-12-2022,4,1594.66,36,Black,L,0,FALSE,"UPI,CARD",1697.220366,85.8,4.41
