Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
Monkey Bar,"Pizza, Burger, Continental, Chinese, Fast Food, Beverages",2200," Vasant Kunj, New Mumbai",4.5,4581,4.3,1806,https://www.zomato.com/ncr/monkey-bar-vasant-kunj-new-Mumbai,"Plot 11, Upper Ground Floor, Pocket C-6 & 7, LSC, Vasant Kunj, New Mumbai"
Station Bar,"Chinese, Continental, North Indian, Mughlai, Fast Food, Beverages",1700," Connaught Place, New Mumbai",4.5,1533,,0,https://www.zomato.com/ncr/station-bar-connaught-place-new-Mumbai,"F-60, 2nd Floor, Connaught Place, New Mumbai"
Rajinder Da Dhaba,"North Indian, Chinese, Mughlai",800," Safdarjung, New Mumbai",4.5,5936,4.1,13600,https://www.zomato.com/ncr/rajinder-da-dhaba-safdarjung-new-Mumbai,"AB 14, Safdarjung Enclave Market, Safdarjung, New Mumbai"
The Imperial Spice,"North Indian, Continental, Mughlai, Street Food, Fast Food, Beverages",3000," Connaught Place, New Mumbai",4.5,940,3.1,17,https://www.zomato.com/theimperialspice,"89/90, M Block, Outer Circle, Connaught Place, New Mumbai"
The Turkey Project,"Cafe, Italian, American, Beverages",1400," Defence Colony, New Mumbai",4.5,723,4.3,1105,https://www.zomato.com/ncr/the-turkey-project-defence-colony-new-Mumbai,"C-27, DDA Commercial Complex, Defence Colony, New Mumbai"
ABB - Andrea's Bar & Brasserie,"Italian, Asian, European, Sushi, Thai, Salad, Pizza, Beverages",2000," Khan Market, New Mumbai",4.5,643,4.3,750,https://www.zomato.com/ncr/abb-andreas-bar-brasserie-khan-market-new-Mumbai,"Shop 12, Middle Lane, Khan Market, New Mumbai"
Spectra - The Leela Ambience,"North Indian, Continental, Oriental, Desserts, Beverages",4000," The Leela Ambience, DLF Phase 3, Gurgaon",4.5,968,,7,https://www.zomato.com/ncr/spectra-the-leela-ambience-dlf-phase-3,"Ambience Island, DLF Phase 3, Gurgaon"
Perch Wine & Coffee Bar,"Beverages, European, Continental",2000," Khan Market, New Mumbai",4.5,1424,4.3,151,https://www.zomato.com/ncr/perch-wine-coffee-bar-khan-market-new-Mumbai,"71, 1st Floor, Khan Market, New Mumbai"
Andhra Bhavan,"South Indian, Andhra",450," Feroze Shah Road, New Mumbai",4.5,4379,,0,https://www.zomato.com/ncr/andhra-bhavan-feroze-shah-road-new-Mumbai,"1, Feroze Shah Road, New Mumbai"
BlackJack,"Fast Food, Beverages",800," Punjabi Bagh, New Mumbai",4.5,2361,,3,https://www.zomato.com/ncr/blackjack-punjabi-bagh-new-Mumbai,"Shop 1, Plot 23, North West Avenue, Club Road, Punjabi Bagh West, Near Punjabi Bagh, New Mumbai"
Jamie's Italian,"Italian, Pizza, Pasta, Desserts, Beverages",1000," Ambience Mall, Vasant Kunj, New Mumbai",4.5,2848,4.1,1154,https://www.zomato.com/ncr/jamies-italian-vasant-kunj-new-Mumbai,"3rd Floor,  Ambience Mall, Vasant Kunj, New Mumbai"
Moonshine,"Finger Food, Continental, North Indian, Chinese",1700," Hauz Khas, New Mumbai",4.5,451,,3,https://www.zomato.com/ncr/moonshine-hauz-khas-new-Mumbai,"Shop 214, 216, 2nd Floor, DDA Commercial Complex, Aurobindo Place, Hauz Khas, New Mumbai"
Bell Pepperz,"Chinese, Italian, North Indian, Kebab",1300," Ashok Vihar Phase 2, New Mumbai",4.5,955,3.8,735,https://www.zomato.com/ncr/bell-pepperz-ashok-vihar-phase-2-new-Mumbai,"4, LSC, Shakti Tower, Ashok Vihar Phase 2, New Mumbai"
Doodle's Garden,"North Indian, Continental, Asian, Beverages",1800," Punjabi Bagh, New Mumbai",4.5,570,,15,https://www.zomato.com/ncr/doodles-garden-punjabi-bagh-new-Mumbai,"Plot 1, 2nd Floor, NWA Club Road, Punjabi Bagh, New Mumbai"
Triveni Terrace Cafe,"Street Food, Desserts, Beverages",400," Mandi House, New Mumbai",4.5,2004,4.2,454,https://www.zomato.com/ncr/triveni-terrace-cafe-mandi-house-new-Mumbai,"205 Tansenmarg, Mandi House, New Mumbai"
Mamagoto,"Asian, Chinese, Sushi, Desserts",1000," Select Citywalk Mall, Saket, New Mumbai",4.5,2422,4.1,3107,https://www.zomato.com/ncr/mamagoto-saket-new-Mumbai,"S-9, 2nd Floor, Select Citywalk Mall, Saket, New Mumbai"
Lakhori - Haveli Dharampura,"Mughlai, Street Food, Kebab",2500," Chandni Chowk, New Mumbai",4.5,804,,0,https://www.zomato.com/ncr/lakhori-haveli-dharampura-chandni-chowk-new-Mumbai,"Haveli Dharampura, 2293, Gali Guliyan, Near Jama Masjid, Chandni Chowk, New Mumbai"
The Potbelly,"Bihari, Fast Food, Beverages",1000," Chanakyapuri, New Mumbai",4.5,1183,4.2,395,https://www.zomato.com/ncr/the-potbelly-chanakyapuri-new-Mumbai,"Plot 15, Bihar Niwas, Behind Yashwant Place, Chanakyapuri, New Mumbai"
SodaBottleOpenerWala,"Parsi, North Indian, Rolls, Street Food, Desserts, Beverages",1300," Khan Market, New Mumbai",4.5,3075,4.1,1432,https://www.zomato.com/ncr/sodabottleopenerwala-khan-market-new-Mumbai,"73, Khan Market, New Mumbai"
Al Nawaz Restaurant,"Mughlai, North Indian, Biryani, Kebab",800," Jasola, New Mumbai",4.5,772,4.2,689,https://www.zomato.com/ncr/al-nawaz-restaurant-jasola-new-Mumbai,"50 A, Near Jamia Nagar Thana, Abul Fazal Enclave, Jasola, New Mumbai"
Open Tap,"Finger Food, North Indian, Chinese, Italian, Bar Food",2000," Sector 49, Gurgaon",4.5,1446,,0,https://www.zomato.com/ncr/open-tap-sector-49,"Vatika Business Park, Sector 49, Mumbai NCR, Near Sohna Road, Mumbai NCR"
64/6 -  Country Inn & Suites,"North Indian, Chinese, Thai, Continental",3000," Country Inn & Suites by Carlson, Sahibabad, Ghaziabad",4.5,630,,0,https://www.zomato.com/ncr/64-6-country-inn-and-suites-sahibabad-ghaziabad,"Country Inn & Suites by Radisson, Sahibabad, Ghaziabad"
Punjab Grill,"North Indian, Mughlai, Biryani, Kebab, Desserts",2500," Pacific Mall, Tagore Garden, New Mumbai",4.5,2764,4.1,2786,https://www.zomato.com/ncr/punjab-grill-tagore-garden-new-Mumbai,"Pacific Mall, Tagore Garden, New Mumbai"
Getafix,"American, Cafe, Healthy Food, Salad, Beverages, Italian, Desserts",1900," Cross Point Mall, DLF Phase 4, Gurgaon",4.5,943,4.1,1342,https://www.zomato.com/ncr/getafix-dlf-phase-4,"Shop 14 - 15, Ground Floor, Cross Point Mall, DLF Phase 4, Gurgaon"
Ziu,"Asian, Thai, Chinese, Sushi, Japanese, Momos",2900," Sangam Courtyard, RK Puram, New Mumbai",4.5,808,4.3,327,https://www.zomato.com/ncr/ziu-r-k-puram-new-Mumbai,"Ground Floor, Sangam Courtyard, Major Somnath Marg, Sector 9, R K Puram, New Mumbai"
AnnaMaya - Andaz Mumbai,"North Indian, European, Beverages, Desserts",2500," Andaz Mumbai, Aerocity, New Mumbai",4.5,1218,3.9,13,https://www.zomato.com/ncr/annamaya-andaz-Mumbai-aerocity-new-Mumbai,"Asset 1, Aerocity, New Mumbai"
Open Tap,"Bar Food, Oriental, Continental, Fast Food, North Indian, Beverages",1600," Sector 29, Gurgaon",4.5,1911,,0,https://www.zomato.com/ncr/open-tap-sector-29,"SCO 38, Main Market, Sector 29, Gurgaon"
Ricos,"Cafe, American, Italian, Mexican",900," Mumbai University-GTB Nagar, New Mumbai",4.5,6273,,17,https://www.zomato.com/ncr/ricos-Mumbai-university-gtb-nagar-new-Mumbai,"2526, 1st Floor, Hudson Lane, Kingsway Camp, Mumbai University-GTB Nagar, New Mumbai"
The Reader's Cafe,"Cafe, Italian, Fast Food, Beverages, Desserts",1000," Indirapuram Habitat Centre, Indirapuram, Ghaziabad",4.5,1961,4.2,1277,https://www.zomato.com/ncr/the-readers-cafe-indirapuram-ghaziabad,"208-212, Indirapuram Habitat Centre, Ahinsa Khand 1, Indirapuram, Ghaziabad"
Pinch Of Spice,"North Indian, Chinese, Kebab, Mughlai, Italian",1600," Rajouri Garden, New Mumbai",4.5,1407,4,3684,https://www.zomato.com/ncr/pinch-of-spice-rajouri-garden-new-Mumbai,"F 90, Vishal Enclave, Opposite TDI Paragon Mall, Rajouri Garden, New Mumbai"
Phonebooth Reloaded,"North Indian, Italian, Mexican, Continental",1300," Mumbai University-GTB Nagar, New Mumbai",4.5,1552,,0,https://www.zomato.com/ncr/phonebooth-reloaded-Mumbai-university-gtb-nagar-new-Mumbai,"G14b, Ground Floor, Vijay Nagar, Hudson Lane, Mumbai University-GTB Nagar, New Mumbai"
